,workclass,education
13461, Private, Some-college
13462, Self-emp-not-inc, HS-grad
13463, Self-emp-not-inc, Bachelors
13464, Private, Some-college
13465, Private, Bachelors
13466, Self-emp-not-inc, Doctorate
13467, Private, HS-grad
13468, Private, Assoc-acdm
13469, Private, Some-college
13470, Private, 7th-8th
13471, Private, Some-college
13472, Private, 11th
13473, Private, HS-grad
13474, Private, HS-grad
13475, Private, Some-college
13476, Private, Assoc-acdm
13477, Private, Assoc-acdm
13478, Federal-gov, Some-college
13479, Private, Masters
13480, Private, 11th
13481, State-gov, Some-college
13482, Local-gov, HS-grad
13483, Federal-gov, Masters
13484, Self-emp-not-inc, HS-grad
13485, Private, HS-grad
13486, Private, Some-college
13487, Local-gov, Masters
13488, Private, Assoc-voc
13489, Federal-gov, HS-grad
13490, Private, HS-grad
13491, Private, HS-grad
13492, Private, Bachelors
13493, ?, HS-grad
13494, Federal-gov, Some-college
13495, Private, Bachelors
13496, Private, Bachelors
13497, Private, Bachelors
13498, ?, Prof-school
13499, Private, Bachelors
13500, Private, HS-grad
13501, Private, Bachelors
13502, Private, Assoc-voc
13503, Private, Bachelors
13504, ?, 5th-6th
13505, Private, Masters
13506, Private, Bachelors
13507, Private, HS-grad
13508, State-gov, Some-college
13509, Private, HS-grad
13510, Private, Some-college
13511, Self-emp-not-inc, Assoc-voc
13512, Local-gov, HS-grad
13513, State-gov, Some-college
13514, Private, Bachelors
13515, ?, 11th
13516, Local-gov, HS-grad
13517, Private, Assoc-acdm
13518, Private, HS-grad
13519, Private, HS-grad
13520, Private, HS-grad
13521, Private, Bachelors
13522, Federal-gov, Some-college
13523, Private, Prof-school
13524, Private, HS-grad
13525, ?, Some-college
13526, Local-gov, Bachelors
13527, Private, HS-grad
13528, Private, Bachelors
13529, Self-emp-not-inc, HS-grad
13530, Private, HS-grad
13531, Private, HS-grad
13532, Private, Assoc-voc
13533, Private, Masters
13534, ?, HS-grad
13535, Private, HS-grad
13536, Self-emp-not-inc, 10th
13537, Federal-gov, HS-grad
13538, Private, 10th
13539, Self-emp-not-inc, Bachelors
13540, Private, Assoc-voc
13541, Private, 7th-8th
13542, Private, 1st-4th
13543, Private, Some-college
13544, Private, Assoc-acdm
13545, Private, Some-college
13546, Private, Some-college
13547, Local-gov, Masters
13548, Private, Assoc-voc
13549, Self-emp-not-inc, Prof-school
13550, Private, HS-grad
13551, Private, Doctorate
13552, ?, HS-grad
13553, Private, HS-grad
13554, Private, HS-grad
13555, Private, Assoc-acdm
13556, ?, Some-college
13557, Private, Bachelors
13558, Private, Prof-school
13559, Private, Bachelors
13560, Private, Bachelors
13561, Private, Bachelors
13562, Self-emp-not-inc, HS-grad
13563, Private, Some-college
13564, Private, Some-college
13565, Private, Bachelors
13566, Self-emp-not-inc, HS-grad
13567, Private, Assoc-voc
13568, Self-emp-not-inc, HS-grad
13569, ?, 12th
13570, Private, Masters
13571, Private, HS-grad
13572, Private, HS-grad
13573, Private, HS-grad
13574, Private, Some-college
13575, Private, Some-college
13576, Private, HS-grad
13577, Private, Bachelors
13578, Private, Some-college
13579, State-gov, Some-college
13580, Self-emp-not-inc, HS-grad
13581, Private, Some-college
13582, Private, HS-grad
13583, Self-emp-inc, Bachelors
13584, State-gov, HS-grad
13585, Private, HS-grad
13586, ?, 11th
13587, State-gov, 9th
13588, Local-gov, Assoc-voc
13589, Self-emp-not-inc, Some-college
13590, State-gov, Doctorate
13591, Private, Bachelors
13592, Private, Some-college
13593, Private, Bachelors
13594, Private, Some-college
13595, Self-emp-not-inc, Assoc-acdm
13596, Private, HS-grad
13597, Private, Bachelors
13598, Private, Some-college
13599, Private, Bachelors
13600, Self-emp-not-inc, 1st-4th
13601, Private, 9th
13602, Private, 9th
13603, Self-emp-not-inc, HS-grad
13604, Private, HS-grad
13605, Private, 11th
13606, Private, 11th
13607, Private, Some-college
13608, ?, 9th
13609, Private, 10th
13610, Self-emp-not-inc, HS-grad
13611, Private, Some-college
13612, Private, HS-grad
13613, Federal-gov, Bachelors
13614, Private, Bachelors
13615, Private, 11th
13616, Self-emp-inc, Assoc-acdm
13617, Private, 10th
13618, Private, Assoc-voc
13619, State-gov, Some-college
13620, Private, HS-grad
13621, Private, HS-grad
13622, Private, Bachelors
13623, Private, HS-grad
13624, Local-gov, Bachelors
13625, Private, Prof-school
13626, ?, 10th
13627, Private, HS-grad
13628, Private, Bachelors
13629, Private, Some-college
13630, Private, Some-college
13631, Private, Masters
13632, State-gov, HS-grad
13633, Private, HS-grad
13634, Private, 12th
13635, Private, Bachelors
13636, Self-emp-inc, 11th
13637, Self-emp-inc, Assoc-voc
13638, Private, HS-grad
13639, Self-emp-not-inc, 7th-8th
13640, Local-gov, Masters
13641, Private, Some-college
13642, Private, Some-college
13643, Federal-gov, HS-grad
13644, Private, Bachelors
13645, Private, Some-college
13646, ?, HS-grad
13647, Self-emp-not-inc, HS-grad
13648, Private, HS-grad
13649, Private, Some-college
13650, Private, Bachelors
13651, Private, Bachelors
13652, Private, HS-grad
13653, Private, Some-college
13654, Local-gov, Masters
13655, State-gov, Bachelors
13656, Local-gov, HS-grad
13657, Private, Some-college
13658, Private, 9th
13659, Local-gov, HS-grad
13660, Private, Masters
13661, Private, Bachelors
13662, Private, HS-grad
13663, Private, Some-college
13664, Local-gov, 1st-4th
13665, Private, Bachelors
13666, Private, HS-grad
13667, State-gov, Bachelors
13668, State-gov, 9th
13669, Private, HS-grad
13670, State-gov, HS-grad
13671, Private, Some-college
13672, Private, HS-grad
13673, Private, Some-college
13674, Federal-gov, HS-grad
13675, Self-emp-not-inc, Assoc-acdm
13676, Private, HS-grad
13677, Self-emp-not-inc, Some-college
13678, Local-gov, Bachelors
13679, Private, Some-college
13680, Private, Bachelors
13681, Self-emp-not-inc, HS-grad
13682, Private, 1st-4th
13683, Private, HS-grad
13684, Private, Assoc-voc
13685, Private, Bachelors
13686, Private, HS-grad
13687, Private, Assoc-acdm
13688, Private, HS-grad
13689, Private, HS-grad
13690, Federal-gov, Bachelors
13691, Private, Bachelors
13692, State-gov, Bachelors
13693, Private, HS-grad
13694, Self-emp-not-inc, 5th-6th
13695, Private, Masters
13696, Self-emp-not-inc, HS-grad
13697, Private, HS-grad
13698, Private, Some-college
13699, Private, HS-grad
13700, Private, Bachelors
13701, Private, HS-grad
13702, Private, 12th
13703, Self-emp-not-inc, Some-college
13704, Private, 11th
13705, Private, Bachelors
13706, Private, 11th
13707, Private, Assoc-voc
13708, Self-emp-not-inc, Some-college
13709, Private, HS-grad
13710, Private, HS-grad
13711, ?, Some-college
13712, Private, HS-grad
13713, Private, Assoc-acdm
13714, Private, Some-college
13715, Private, HS-grad
13716, Local-gov, Masters
13717, Private, HS-grad
13718, Private, Some-college
13719, Local-gov, Some-college
13720, Private, HS-grad
13721, Private, HS-grad
13722, Private, Bachelors
13723, Local-gov, Some-college
13724, Private, Bachelors
13725, Private, HS-grad
13726, Private, Some-college
13727, Private, HS-grad
13728, Private, HS-grad
13729, Private, Bachelors
13730, Private, HS-grad
13731, Private, Some-college
13732, Private, Some-college
13733, Local-gov, HS-grad
13734, Private, HS-grad
13735, Self-emp-not-inc, HS-grad
13736, Private, HS-grad
13737, Federal-gov, HS-grad
13738, Private, Prof-school
13739, Private, Some-college
13740, Private, 11th
13741, Self-emp-not-inc, 7th-8th
13742, Private, 11th
13743, Private, HS-grad
13744, ?, 11th
13745, Private, 11th
13746, Private, Some-college
13747, Private, Masters
13748, Private, Masters
13749, Private, HS-grad
13750, Private, Bachelors
13751, Private, HS-grad
13752, Private, HS-grad
13753, Federal-gov, Some-college
13754, Private, Some-college
13755, Private, Some-college
13756, Private, HS-grad
13757, Private, Some-college
13758, Self-emp-inc, HS-grad
13759, Private, 1st-4th
13760, Private, 12th
13761, Private, HS-grad
13762, Private, Bachelors
13763, Self-emp-not-inc, HS-grad
13764, Private, HS-grad
13765, Private, 10th
13766, Private, 10th
13767, Private, Some-college
13768, Federal-gov, HS-grad
13769, Self-emp-inc, HS-grad
13770, Private, Assoc-acdm
13771, Private, HS-grad
13772, Private, Bachelors
13773, Private, Some-college
13774, Private, HS-grad
13775, Self-emp-not-inc, Some-college
13776, Local-gov, HS-grad
13777, Self-emp-not-inc, Bachelors
13778, Private, Bachelors
13779, Private, Bachelors
13780, Private, Bachelors
13781, Private, Bachelors
13782, Private, Bachelors
13783, Private, Some-college
13784, ?, Prof-school
13785, Private, Bachelors
13786, Private, Some-college
13787, State-gov, Bachelors
13788, State-gov, Doctorate
13789, Private, Assoc-acdm
13790, Private, Bachelors
13791, Self-emp-not-inc, HS-grad
13792, Private, Some-college
13793, Private, Some-college
13794, Federal-gov, HS-grad
13795, Self-emp-not-inc, Some-college
13796, Federal-gov, HS-grad
13797, Private, HS-grad
13798, Private, Some-college
13799, Private, Bachelors
13800, Private, HS-grad
13801, Self-emp-not-inc, Bachelors
13802, Private, 10th
13803, Private, HS-grad
13804, Private, Assoc-acdm
13805, Self-emp-inc, Bachelors
13806, Private, Assoc-voc
13807, Private, 11th
13808, Private, Some-college
13809, Self-emp-not-inc, HS-grad
13810, Private, Bachelors
13811, Local-gov, HS-grad
13812, Private, 10th
13813, Private, Bachelors
13814, Private, Some-college
13815, ?, Some-college
13816, Local-gov, Bachelors
13817, Private, 5th-6th
13818, Private, HS-grad
13819, Private, HS-grad
13820, Private, HS-grad
13821, Private, 10th
13822, Private, Assoc-voc
13823, Private, 7th-8th
13824, Private, HS-grad
13825, Self-emp-not-inc, 10th
13826, Private, Bachelors
13827, Private, Bachelors
13828, Private, Assoc-voc
13829, Private, HS-grad
13830, Private, HS-grad
13831, State-gov, HS-grad
13832, Private, HS-grad
13833, Private, Some-college
13834, Private, 5th-6th
13835, Private, Assoc-voc
13836, Private, Bachelors
13837, Federal-gov, HS-grad
13838, State-gov, Some-college
13839, Private, HS-grad
13840, Private, Assoc-acdm
13841, Federal-gov, Prof-school
13842, Private, Assoc-voc
13843, ?, HS-grad
13844, Private, HS-grad
13845, ?, Bachelors
13846, Private, Bachelors
13847, Private, Bachelors
13848, Private, HS-grad
13849, Private, 11th
13850, Private, 5th-6th
13851, Private, HS-grad
13852, Private, Assoc-acdm
13853, Private, Some-college
13854, Private, HS-grad
13855, Private, Some-college
13856, Self-emp-not-inc, Some-college
13857, Private, Some-college
13858, Private, Doctorate
13859, Self-emp-not-inc, HS-grad
13860, Private, Assoc-acdm
13861, Self-emp-not-inc, HS-grad
13862, Private, Bachelors
13863, Self-emp-not-inc, Some-college
13864, Local-gov, Assoc-voc
13865, Private, HS-grad
13866, Self-emp-not-inc, HS-grad
13867, Private, HS-grad
13868, Self-emp-not-inc, Assoc-voc
13869, Private, HS-grad
13870, Private, Some-college
13871, Self-emp-not-inc, Some-college
13872, Private, Bachelors
13873, Private, HS-grad
13874, Private, Masters
13875, Private, HS-grad
13876, Private, HS-grad
13877, Private, Some-college
13878, Private, Some-college
13879, Self-emp-not-inc, 10th
13880, Local-gov, Some-college
13881, Private, HS-grad
13882, Private, HS-grad
13883, Private, Masters
13884, ?, HS-grad
13885, Private, HS-grad
13886, Private, HS-grad
13887, Private, Assoc-acdm
13888, Federal-gov, 11th
13889, Private, HS-grad
13890, Private, HS-grad
13891, Private, Some-college
13892, Self-emp-not-inc, Bachelors
13893, Private, 11th
13894, Private, Assoc-voc
13895, Private, HS-grad
13896, Private, HS-grad
13897, Private, Masters
13898, Federal-gov, HS-grad
13899, Private, HS-grad
13900, Private, Assoc-acdm
13901, Self-emp-inc, Masters
13902, Private, HS-grad
13903, Private, Some-college
13904, Self-emp-not-inc, Bachelors
13905, Local-gov, Some-college
13906, Private, Bachelors
13907, Private, 11th
13908, Private, HS-grad
13909, Self-emp-not-inc, HS-grad
13910, Self-emp-inc, HS-grad
13911, Private, 7th-8th
13912, Private, Some-college
13913, Private, Assoc-acdm
13914, Private, Some-college
13915, Private, HS-grad
13916, Local-gov, 10th
13917, Private, HS-grad
13918, Private, Bachelors
13919, Private, Some-college
13920, Private, Some-college
13921, Self-emp-inc, Some-college
13922, Private, Assoc-voc
13923, Private, HS-grad
13924, State-gov, Doctorate
13925, Private, 7th-8th
13926, Private, HS-grad
13927, Self-emp-inc, Some-college
13928, Self-emp-not-inc, Bachelors
13929, Self-emp-not-inc, HS-grad
13930, Private, HS-grad
13931, Self-emp-not-inc, Masters
13932, State-gov, Some-college
13933, ?, HS-grad
13934, Private, Some-college
13935, Private, HS-grad
13936, Private, 7th-8th
13937, Federal-gov, HS-grad
13938, Private, Some-college
13939, Private, HS-grad
13940, Local-gov, Masters
13941, State-gov, Bachelors
13942, Private, Some-college
13943, Private, Some-college
13944, Self-emp-inc, HS-grad
13945, Private, Assoc-voc
13946, Private, Some-college
13947, Private, Bachelors
13948, Private, Some-college
13949, ?, Some-college
13950, Local-gov, Some-college
13951, Private, Assoc-voc
13952, Private, 11th
13953, Private, 12th
13954, Self-emp-not-inc, Assoc-voc
13955, Federal-gov, HS-grad
13956, Private, 5th-6th
13957, Private, HS-grad
13958, Private, Some-college
13959, Private, HS-grad
13960, Self-emp-inc, Bachelors
13961, Private, HS-grad
13962, Private, Some-college
13963, Self-emp-inc, Bachelors
13964, Private, HS-grad
13965, Private, Bachelors
13966, Private, Masters
13967, Private, HS-grad
13968, Private, 11th
13969, Private, Some-college
13970, Private, 11th
13971, Private, Bachelors
13972, Local-gov, Bachelors
13973, Private, Assoc-acdm
13974, Local-gov, Bachelors
13975, Private, Masters
13976, Private, HS-grad
13977, Local-gov, Some-college
13978, Federal-gov, Assoc-voc
13979, Private, HS-grad
13980, Self-emp-not-inc, Some-college
13981, Private, HS-grad
13982, Local-gov, Bachelors
13983, Private, Masters
13984, Private, HS-grad
13985, Private, HS-grad
13986, Private, HS-grad
13987, Private, Some-college
13988, Private, Assoc-acdm
13989, Private, HS-grad
13990, Private, HS-grad
13991, Private, Prof-school
13992, Private, Some-college
13993, Private, HS-grad
13994, Private, HS-grad
13995, Private, Bachelors
13996, Private, HS-grad
13997, Private, Masters
13998, Private, Bachelors
13999, Private, 11th
14000, Self-emp-inc, HS-grad
14001, Private, Assoc-acdm
14002, Self-emp-not-inc, HS-grad
14003, Local-gov, Some-college
14004, State-gov, Masters
14005, ?, HS-grad
14006, Private, Assoc-voc
14007, Private, Some-college
14008, Private, Bachelors
14009, Private, HS-grad
14010, Private, Bachelors
14011, Private, Some-college
14012, Private, Some-college
14013, Private, HS-grad
14014, Private, Some-college
14015, Self-emp-inc, Masters
14016, Local-gov, Some-college
14017, Self-emp-inc, Bachelors
14018, Private, 12th
14019, Private, HS-grad
14020, Private, Some-college
14021, Private, Bachelors
14022, Self-emp-not-inc, Bachelors
14023, Private, Bachelors
14024, Private, Some-college
14025, Private, HS-grad
14026, Private, HS-grad
14027, Private, Some-college
14028, Self-emp-not-inc, Bachelors
14029, State-gov, Some-college
14030, Private, Some-college
14031, Self-emp-not-inc, HS-grad
14032, Private, HS-grad
14033, Private, Assoc-voc
14034, Private, HS-grad
14035, Private, Assoc-voc
14036, Local-gov, HS-grad
14037, Private, Bachelors
14038, Local-gov, HS-grad
14039, Self-emp-inc, Assoc-acdm
14040, Federal-gov, HS-grad
14041, Self-emp-inc, Prof-school
14042, Private, Masters
14043, Private, HS-grad
14044, Self-emp-inc, HS-grad
14045, Local-gov, HS-grad
14046, Federal-gov, HS-grad
14047, Private, HS-grad
14048, Private, HS-grad
14049, Private, Bachelors
14050, Private, Bachelors
14051, Private, 11th
14052, State-gov, 11th
14053, ?, 11th
14054, Private, HS-grad
14055, Private, HS-grad
14056, Private, Some-college
14057, Private, HS-grad
14058, Private, Masters
14059, Private, HS-grad
14060, Private, Some-college
14061, State-gov, Bachelors
14062, Private, Some-college
14063, Private, Bachelors
14064, Private, HS-grad
14065, Private, Some-college
14066, Private, HS-grad
14067, ?, HS-grad
14068, Private, HS-grad
14069, Private, Bachelors
14070, Private, Some-college
14071, Private, Some-college
14072, Private, Some-college
14073, Private, Some-college
14074, Private, HS-grad
14075, Private, 12th
14076, Federal-gov, HS-grad
14077, Self-emp-not-inc, Some-college
14078, Federal-gov, HS-grad
14079, Private, HS-grad
14080, Private, HS-grad
14081, Private, HS-grad
14082, Local-gov, HS-grad
14083, Private, Bachelors
14084, Private, 1st-4th
14085, Private, 12th
14086, Private, Some-college
14087, Private, Some-college
14088, Private, 5th-6th
14089, Federal-gov, 10th
14090, Self-emp-not-inc, HS-grad
14091, Private, Bachelors
14092, Private, HS-grad
14093, Private, Some-college
14094, State-gov, 10th
14095, Private, Some-college
14096, Private, Masters
14097, Private, 5th-6th
14098, Private, HS-grad
14099, Self-emp-not-inc, HS-grad
14100, Private, Some-college
14101, Private, Bachelors
14102, Private, Some-college
14103, Private, Some-college
14104, Private, Prof-school
14105, Private, HS-grad
14106, Private, 10th
14107, Federal-gov, Bachelors
14108, ?, HS-grad
14109, Private, HS-grad
14110, Private, Some-college
14111, Private, Some-college
14112, Federal-gov, Some-college
14113, Private, Bachelors
14114, Private, HS-grad
14115, Private, Some-college
14116, Private, HS-grad
14117, Private, Prof-school
14118, ?, Some-college
14119, Private, HS-grad
14120, Private, Prof-school
14121, Private, HS-grad
14122, State-gov, Some-college
14123, ?, 5th-6th
14124, Private, HS-grad
14125, Private, 12th
14126, Private, HS-grad
14127, Private, HS-grad
14128, Private, Assoc-acdm
14129, Self-emp-not-inc, HS-grad
14130, Private, Bachelors
14131, Private, HS-grad
14132, Private, HS-grad
14133, Private, HS-grad
14134, Private, HS-grad
14135, Private, Some-college
14136, Private, HS-grad
14137, Local-gov, HS-grad
14138, Private, HS-grad
14139, Private, HS-grad
14140, Private, Bachelors
14141, Private, 10th
14142, Local-gov, Bachelors
14143, Private, Bachelors
14144, Self-emp-not-inc, Assoc-acdm
14145, Private, Bachelors
14146, Private, 9th
14147, Private, Bachelors
14148, Private, Bachelors
14149, Private, HS-grad
14150, Self-emp-not-inc, HS-grad
14151, ?, Some-college
14152, Private, Some-college
14153, Private, Some-college
14154, Self-emp-not-inc, HS-grad
14155, Private, 10th
14156, Private, Some-college
14157, Private, HS-grad
14158, Private, HS-grad
14159, Local-gov, Assoc-acdm
14160, Private, Some-college
14161, Private, HS-grad
14162, Private, Assoc-acdm
14163, Private, HS-grad
14164, Private, Some-college
14165, Private, 11th
14166, Private, HS-grad
14167, State-gov, Some-college
14168, Private, Bachelors
14169, Local-gov, Doctorate
14170, Private, Some-college
14171, Private, HS-grad
14172, Private, Bachelors
14173, Self-emp-inc, HS-grad
14174, Federal-gov, Assoc-acdm
14175, Self-emp-not-inc, HS-grad
14176, Private, HS-grad
14177, Private, 12th
14178, ?, HS-grad
14179, Local-gov, Bachelors
14180, Local-gov, Masters
14181, Private, Masters
14182, Private, HS-grad
14183, Private, HS-grad
14184, Self-emp-inc, Some-college
14185, Private, HS-grad
14186, Private, 7th-8th
14187, Private, Some-college
14188, Private, HS-grad
14189, Private, HS-grad
14190, Private, 7th-8th
14191, Private, 11th
14192, State-gov, Doctorate
14193, Private, 9th
14194, Private, HS-grad
14195, Self-emp-not-inc, HS-grad
14196, Private, Some-college
14197, Private, Bachelors
14198, Private, HS-grad
14199, Private, Some-college
14200, Private, HS-grad
14201, Private, HS-grad
14202, Private, Assoc-voc
14203, ?, Some-college
14204, Self-emp-inc, HS-grad
14205, Private, HS-grad
14206, Private, Bachelors
14207, Private, Bachelors
14208, Federal-gov, Bachelors
14209, Private, Masters
14210, Private, Bachelors
14211, Self-emp-not-inc, Assoc-voc
14212, Private, 10th
14213, ?, 11th
14214, Private, HS-grad
14215, Local-gov, Bachelors
14216, State-gov, Bachelors
14217, ?, Bachelors
14218, Private, HS-grad
14219, Private, Some-college
14220, Self-emp-inc, Some-college
14221, Private, Some-college
14222, Self-emp-not-inc, 7th-8th
14223, Private, HS-grad
14224, Private, Bachelors
14225, Private, HS-grad
14226, Private, Bachelors
14227, Private, 11th
14228, Self-emp-not-inc, 7th-8th
14229, Private, Masters
14230, Local-gov, HS-grad
14231, Private, Some-college
14232, Private, Some-college
14233, Private, Some-college
14234, Private, HS-grad
14235, Private, Bachelors
14236, Self-emp-inc, Assoc-voc
14237, Local-gov, Some-college
14238, Self-emp-inc, Prof-school
14239, Private, HS-grad
14240, Federal-gov, Some-college
14241, Self-emp-not-inc, HS-grad
14242, Private, HS-grad
14243, Private, HS-grad
14244, Private, HS-grad
14245, Private, Some-college
14246, Self-emp-inc, 1st-4th
14247, Local-gov, Bachelors
14248, Self-emp-inc, Bachelors
14249, Private, HS-grad
14250, Private, Doctorate
14251, Private, 5th-6th
14252, Private, Bachelors
14253, Private, Assoc-voc
14254, ?, Some-college
14255, ?, HS-grad
14256, Private, Some-college
14257, Self-emp-not-inc, Assoc-voc
14258, Private, 12th
14259, Self-emp-inc, Prof-school
14260, Private, Assoc-acdm
14261, Private, HS-grad
14262, Private, Assoc-voc
14263, Private, Some-college
14264, Private, 9th
14265, Private, 11th
14266, Private, Bachelors
14267, Private, HS-grad
14268, Private, Some-college
14269, Self-emp-not-inc, HS-grad
14270, Private, Some-college
14271, Private, 11th
14272, Self-emp-inc, Bachelors
14273, State-gov, Masters
14274, Private, Bachelors
14275, Self-emp-inc, HS-grad
14276, Self-emp-not-inc, 7th-8th
14277, Federal-gov, Masters
14278, Private, HS-grad
14279, Private, 11th
14280, ?, Some-college
14281, Private, 9th
14282, Self-emp-inc, Bachelors
14283, Private, Some-college
14284, Self-emp-inc, 10th
14285, Self-emp-not-inc, Prof-school
14286, Private, HS-grad
14287, Local-gov, 10th
14288, Self-emp-not-inc, HS-grad
14289, Federal-gov, 10th
14290, Private, Bachelors
14291, Private, HS-grad
14292, Private, Some-college
14293, Federal-gov, HS-grad
14294, Private, Masters
14295, Local-gov, HS-grad
14296, Private, Some-college
14297, Private, Bachelors
14298, Private, 9th
14299, Private, Some-college
14300, Self-emp-inc, Bachelors
14301, Private, HS-grad
14302, Private, Prof-school
14303, Private, Some-college
14304, Private, 10th
14305, Private, Masters
14306, Private, Some-college
14307, Private, Assoc-acdm
14308, Private, Assoc-voc
14309, Private, HS-grad
14310, Private, 9th
14311, Private, HS-grad
14312, Private, Some-college
14313, Private, Assoc-voc
14314, Private, Bachelors
14315, Private, 5th-6th
14316, Private, Some-college
14317, Private, Some-college
14318, Private, Bachelors
14319, Private, 11th
14320, Private, Masters
14321, Private, Some-college
14322, Federal-gov, HS-grad
14323, Private, Assoc-voc
14324, Private, HS-grad
14325, Private, Bachelors
14326, Private, Bachelors
14327, Private, 1st-4th
14328, Self-emp-not-inc, Bachelors
14329, Private, Bachelors
14330, ?, Doctorate
14331, Private, HS-grad
14332, Private, Some-college
14333, Private, Some-college
14334, Self-emp-not-inc, HS-grad
14335, Private, HS-grad
14336, Private, HS-grad
14337, Private, HS-grad
14338, Private, HS-grad
14339, Federal-gov, Some-college
14340, Private, 12th
14341, Private, HS-grad
14342, Private, Bachelors
14343, Self-emp-inc, Bachelors
14344, ?, Some-college
14345, Private, Some-college
14346, Local-gov, Masters
14347, Local-gov, Bachelors
14348, ?, Some-college
14349, Private, Some-college
14350, Private, Some-college
14351, Federal-gov, Bachelors
14352, Private, Bachelors
14353, Private, HS-grad
14354, Private, HS-grad
14355, Private, 10th
14356, Private, HS-grad
14357, Private, Bachelors
14358, Private, HS-grad
14359, Private, Some-college
14360, ?, HS-grad
14361, Private, Masters
14362, Self-emp-inc, HS-grad
14363, ?, Assoc-voc
14364, Private, Some-college
14365, Private, Some-college
14366, Private, Prof-school
14367, Private, Bachelors
14368, Self-emp-inc, HS-grad
14369, Private, HS-grad
14370, ?, Assoc-acdm
14371, Self-emp-inc, Some-college
14372, Private, Some-college
14373, Private, HS-grad
14374, Private, HS-grad
14375, Federal-gov, HS-grad
14376, Self-emp-not-inc, Some-college
14377, Private, Assoc-acdm
14378, Local-gov, HS-grad
14379, Self-emp-inc, Masters
14380, Private, Bachelors
14381, Self-emp-inc, HS-grad
14382, Self-emp-not-inc, HS-grad
14383, Private, Bachelors
14384, Self-emp-not-inc, Bachelors
14385, Private, HS-grad
14386, Local-gov, Bachelors
14387, Federal-gov, Assoc-acdm
14388, Private, HS-grad
14389, Private, Bachelors
14390, Private, Assoc-voc
14391, Private, HS-grad
14392, Private, HS-grad
14393, Private, HS-grad
14394, Local-gov, Masters
14395, Local-gov, Some-college
14396, Self-emp-not-inc, Bachelors
14397, Self-emp-inc, HS-grad
14398, ?, Some-college
14399, Self-emp-not-inc, Bachelors
14400, Federal-gov, HS-grad
14401, Self-emp-not-inc, HS-grad
14402, Private, HS-grad
14403, Private, Bachelors
14404, Private, 11th
14405, Private, HS-grad
14406, Private, Bachelors
14407, Local-gov, HS-grad
14408, Private, Assoc-voc
14409, Private, Bachelors
14410, Self-emp-not-inc, Bachelors
14411, Private, Some-college
14412, Private, HS-grad
14413, Private, HS-grad
14414, Private, HS-grad
14415, Private, Masters
14416, Private, 10th
14417, Private, Bachelors
14418, ?, HS-grad
14419, Private, Assoc-voc
14420, State-gov, Doctorate
14421, Private, HS-grad
14422, Private, HS-grad
14423, Private, HS-grad
14424, Private, HS-grad
14425, Private, HS-grad
14426, Private, 10th
14427, State-gov, HS-grad
14428, Private, Bachelors
14429, Private, 12th
14430, ?, 11th
14431, Private, HS-grad
14432, Private, Some-college
14433, Private, Assoc-voc
14434, Private, HS-grad
14435, Self-emp-inc, HS-grad
14436, Private, Bachelors
14437, Private, Assoc-voc
14438, Self-emp-not-inc, HS-grad
14439, Private, 11th
14440, Private, 9th
14441, ?, HS-grad
14442, Private, Some-college
14443, State-gov, Some-college
14444, Private, HS-grad
14445, Private, Bachelors
14446, Local-gov, HS-grad
14447, Self-emp-inc, Masters
14448, Private, HS-grad
14449, Private, Some-college
14450, Private, HS-grad
14451, Self-emp-not-inc, Some-college
14452, Self-emp-inc, Assoc-acdm
14453, Private, Some-college
14454, Private, 11th
14455, Private, Some-college
14456, Private, Some-college
14457, Private, Some-college
14458, Private, Bachelors
14459, Private, 5th-6th
14460, Private, Bachelors
14461, Private, Some-college
14462, Private, HS-grad
14463, Private, 9th
14464, Local-gov, Bachelors
14465, Private, HS-grad
14466, Private, Bachelors
14467, Private, HS-grad
14468, Private, Bachelors
14469, Local-gov, Masters
14470, Local-gov, Some-college
14471, Private, HS-grad
14472, Self-emp-not-inc, HS-grad
14473, Local-gov, Assoc-acdm
14474, Private, Assoc-voc
14475, Private, 11th
14476, State-gov, Bachelors
14477, Local-gov, HS-grad
14478, State-gov, Doctorate
14479, Private, HS-grad
14480, Federal-gov, Some-college
14481, Private, HS-grad
14482, Private, HS-grad
14483, Private, Bachelors
14484, Private, HS-grad
14485, Local-gov, 5th-6th
14486, Private, HS-grad
14487, Private, HS-grad
14488, Private, Bachelors
14489, Private, Assoc-voc
14490, Private, Some-college
14491, Federal-gov, Some-college
14492, Private, HS-grad
14493, Private, Assoc-voc
14494, Private, HS-grad
14495, Federal-gov, Some-college
14496, Private, 10th
14497, Private, HS-grad
14498, Private, 9th
14499, ?, Bachelors
14500, Private, HS-grad
14501, Private, HS-grad
14502, Private, 5th-6th
14503, State-gov, Some-college
14504, Private, HS-grad
14505, Private, Some-college
14506, Self-emp-not-inc, HS-grad
14507, Private, Some-college
14508, Self-emp-not-inc, HS-grad
14509, Private, HS-grad
14510, Private, HS-grad
14511, Self-emp-not-inc, HS-grad
14512, Private, 11th
14513, Self-emp-not-inc, Bachelors
14514, Self-emp-inc, 10th
14515, Private, 11th
14516, Private, HS-grad
14517, Self-emp-not-inc, HS-grad
14518, Private, Some-college
14519, Private, Masters
14520, Private, 9th
14521, Private, Masters
14522, Private, Assoc-voc
14523, Private, Bachelors
14524, Private, HS-grad
14525, Local-gov, HS-grad
14526, Private, HS-grad
14527, Private, Assoc-acdm
14528, Private, 11th
